Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov
Malcolm Brogdon,0.437,0.484,0.619,0.6,0.444,0.485,0.863,62,21,10,27,33,51
Tyrese Maxey,0.435,0.505,0.452,0.458,0.512,0.361,0.738,105,42,24,41,61,65
Stephen Curry,0.432,0.706,0.526,0.467,0.415,0.466,0.907,109,38,30,82,148,107
Kentavious Caldwell-Pope,0.422,0.484,0.25,0.448,0.512,0.476,0.767,31,16,29,43,42,30
Jevon Carter,0.421,0.483,0.375,0.5,0.321,0.48,0.846,29,16,32,28,50,13
Jalen Brunson,0.418,0.567,0.462,0.4,0.286,0.395,0.878,120,91,15,42,43,115
Michael Porter Jr.,0.416,0.617,0.478,0.273,0.481,0.365,0.8,47,23,22,52,52,30
Klay Thompson,0.412,0.485,0.395,0.355,0.327,0.421,0.808,33,38,31,49,121,26
Alec Burks,0.412,0.571,0.5,0.313,0.474,0.36,0.821,14,24,16,19,25,56
Darius Garland,0.41,0.438,0.519,0.375,0.415,0.415,0.855,73,52,32,41,65,83
Patrick Williams,0.41,0.5,0.409,0.412,0.481,0.355,0.929,48,22,17,27,31,28
Bojan Bogdanovic,0.409,0.568,0.619,0.481,0.456,0.338,0.87,88,63,27,57,68,108
Tyrese Haliburton,0.407,0.596,0.359,0.588,0.347,0.391,0.85,109,39,17,49,92,60
Jamal Murray,0.406,0.5,0.366,0.5,0.464,0.345,0.783,84,41,44,28,55,46
Kevin Durant,0.404,0.74,0.606,0.472,0.26,0.439,0.923,96,170,72,50,57,183
Jerami Grant,0.403,0.545,0.39,0.361,0.476,0.475,0.765,112,41,36,63,61,132
Kevin Huerter,0.403,0.673,0.421,0.286,0.418,0.48,0.681,52,19,14,67,75,47
D'Angelo Russell,0.399,0.614,0.418,0.5,0.262,0.361,0.759,57,55,24,42,83,54
Andrew Wiggins,0.396,0.634,0.452,0.36,0.4,0.443,0.692,101,31,25,45,88,39
Norman Powell,0.395,0.546,0.4,0.389,0.4,0.326,0.78,97,25,18,45,46,82
Lauri Markkanen,0.394,0.685,0.486,0.5,0.444,0.369,0.822,146,37,16,63,84,101
De'Anthony Melton,0.391,0.441,0.444,0.636,0.349,0.359,0.667,68,18,11,43,64,21
Cory Joseph,0.391,0.5,0.5,0.3,0.308,0.5,0.643,20,18,10,13,14,14
Jrue Holiday,0.39,0.594,0.333,0.417,0.406,0.29,0.875,96,33,24,32,62,40
Tobias Harris,0.39,0.573,0.475,0.4,0.4,0.313,0.825,117,40,10,55,48,40
Brandon Ingram,0.389,0.491,0.492,0.341,0.48,0.464,0.868,53,65,41,25,28,76
Donovan Mitchell,0.388,0.664,0.453,0.391,0.449,0.42,0.885,107,53,46,49,119,113
Devin Vassell,0.387,0.509,0.491,0.486,0.524,0.356,0.796,55,55,37,42,73,54
OG Anunoby,0.387,0.61,0.281,0.292,0.314,0.396,0.847,159,32,24,51,48,72
Kristaps Porzingis,0.387,0.609,0.5,0.261,0.411,0.364,0.795,110,66,23,56,66,127
AJ Griffin,0.387,0.7,0.542,0.333,0.333,0.395,1,20,24,12,27,38,7
CJ McCollum,0.386,0.468,0.452,0.425,0.265,0.35,0.794,79,62,40,34,80,34
Nikola Jokic,0.386,0.693,0.516,0.9,0.263,0.353,0.847,153,31,10,19,17,111
James Harden,0.385,0.514,0.455,0.692,0.294,0.385,0.929,37,33,13,34,26,56
Mikal Bridges,0.384,0.649,0.484,0.3,0.463,0.367,0.875,94,64,10,41,30,48
Kyrie Irving,0.381,0.583,0.64,0.533,0.368,0.29,0.914,84,50,30,57,69,58
Monte Morris,0.381,0.547,0.474,0.35,0.304,0.394,0.714,53,19,20,23,33,21
Tyler Herro,0.38,0.617,0.436,0.35,0.366,0.316,0.878,60,39,20,41,57,41
Myles Turner,0.38,0.663,0.692,0,0.455,0.333,0.808,89,13,10,33,24,78
Anfernee Simons,0.378,0.552,0.436,0.371,0.333,0.396,0.882,96,39,35,54,159,76
Christian Wood,0.377,0.651,0.556,0.308,0.4,0.4,0.671,109,18,13,25,35,76
Cameron Payne,0.376,0.462,0.386,0.429,0.533,0.339,0.771,65,57,14,30,56,35
Brook Lopez,0.375,0.693,0.44,0.417,0.444,0.365,0.8,75,25,12,54,63,40
Paul George,0.374,0.636,0.417,0.429,0.392,0.362,0.852,77,48,42,51,69,81
Zach LaVine,0.373,0.541,0.32,0.355,0.295,0.357,0.827,98,25,31,44,84,75
Bobby Portis,0.373,0.616,0.481,0.375,0.205,0.5,0.778,86,54,16,44,32,27
Damian Lillard,0.372,0.593,0.417,0.412,0.273,0.364,0.875,59,12,17,33,77,96
Anthony Edwards,0.371,0.607,0.333,0.321,0.411,0.308,0.766,163,21,28,56,91,107
Tyus Jones,0.371,0.581,0.5,0.2,0.391,0.362,0.636,31,70,10,23,58,22
Gary Trent Jr.,0.37,0.614,0.514,0.308,0.327,0.333,0.767,57,35,39,49,75,73
Lonnie Walker IV,0.368,0.578,0.462,0.5,0.324,0.386,0.844,102,13,16,34,57,45
Immanuel Quickley,0.368,0.561,0.361,0.364,0.3,0.265,0.87,41,36,11,30,49,46
Marcus Morris Sr.,0.367,0.727,0.426,0.556,0.25,0.446,0.742,33,61,36,36,74,31
Will Barton,0.367,0.426,0.304,0.421,0.25,0.372,0.875,54,23,19,32,43,24
Terrence Ross,0.366,0.524,0.444,0.476,0.324,0.439,0.692,21,27,21,37,41,13
Kevin Porter Jr.,0.366,0.496,0.414,0.421,0.471,0.308,0.735,113,58,19,34,78,102
Josh Richardson,0.365,0.5,0.5,0.308,0.476,0.309,0.844,16,34,13,21,55,32
Bradley Beal,0.364,0.643,0.465,0.55,0.333,0.385,0.873,112,43,40,27,52,71
Bruce Brown,0.364,0.548,0.429,0.364,0.375,0.459,0.875,84,28,11,32,37,24
Karl-Anthony Towns,0.362,0.65,0.429,0.55,0.25,0.373,0.885,123,28,20,44,59,104
Shaedon Sharpe,0.362,0.615,0.364,0.45,0.45,0.333,0.65,52,11,20,20,30,20
Caleb Martin,0.361,0.595,0.462,0.333,0.378,0.469,0.786,79,13,24,37,32,28
Malik Beasley,0.359,0.514,0.391,0.52,0.446,0.376,0.9,35,23,25,74,109,20
Wendell Carter Jr.,0.356,0.711,0.44,0.25,0.452,0.19,0.826,76,25,16,31,21,69
Goran Dragic,0.354,0.489,0.333,0.545,0.421,0.395,0.654,47,27,11,19,38,26
Devin Booker,0.353,0.557,0.58,0.437,0.357,0.395,0.878,115,112,71,42,86,139
Jimmy Butler,0.353,0.557,0.414,0.3,0.5,0.167,0.901,106,29,10,18,12,101
Shai Gilgeous-Alexander,0.352,0.59,0.464,0.533,0.313,0.364,0.919,188,125,30,16,44,185
De'Andre Hunter,0.35,0.527,0.475,0.436,0.404,0.281,0.808,74,61,39,47,32,73
Nikola Vucevic,0.35,0.605,0.333,0.4,0.418,0.243,0.857,119,33,15,55,37,49
P.J. Washington,0.349,0.606,0.389,0.308,0.326,0.353,0.797,104,36,26,46,68,59
Luka Doncic,0.348,0.651,0.566,0.419,0.214,0.359,0.723,172,83,31,42,103,213
Jayson Tatum,0.346,0.669,0.395,0.455,0.364,0.355,0.873,157,38,33,55,124,181
Dejounte Murray,0.345,0.596,0.402,0.523,0.355,0.348,0.875,94,107,65,62,66,56
Fred VanVleet,0.344,0.377,0.346,0.455,0.349,0.366,0.862,53,26,22,43,82,58
Kyle Lowry,0.343,0.444,0.538,0.4,0.375,0.341,0.859,54,26,10,48,88,92
Jordan Poole,0.342,0.579,0.423,0.444,0.296,0.326,0.842,76,26,27,54,86,76
Julius Randle,0.342,0.583,0.521,0.286,0.31,0.338,0.766,120,48,14,58,71,128
Trae Young,0.34,0.448,0.506,0.414,0.347,0.284,0.899,143,87,58,72,74,179
Jalen Green,0.34,0.554,0.419,0.314,0.268,0.387,0.791,130,31,35,56,93,110
Joel Embiid,0.338,0.623,0.481,0.571,0.211,0.321,0.839,106,79,42,19,28,168
Gabe Vincent,0.334,0.576,0.474,0.5,0.371,0.265,0.84,33,19,10,35,49,25
Kyle Kuzma,0.333,0.614,0.515,0.313,0.38,0.25,0.731,153,33,16,71,84,78
Jalen Suggs,0.332,0.571,0.409,0.571,0.25,0.325,0.657,42,22,14,24,40,35
Pascal Siakam,0.329,0.608,0.48,0.346,0.348,0.389,0.731,79,50,26,23,18,78
Reggie Jackson,0.329,0.549,0.475,0.391,0.394,0.311,0.921,71,40,23,33,61,38
Jaylen Brown,0.328,0.621,0.605,0.529,0.286,0.32,0.832,161,43,34,35,75,101
Terry Rozier,0.328,0.526,0.368,0.174,0.25,0.329,0.794,97,38,23,40,73,34
Bennedict Mathurin,0.328,0.489,0.3,0.273,0.449,0.387,0.814,131,20,11,49,62,129
De'Aaron Fox,0.327,0.691,0.506,0.439,0.343,0.417,0.823,110,77,41,35,60,96
Dillon Brooks,0.327,0.481,0.488,0.222,0.318,0.348,0.722,108,43,27,44,69,54
Gordon Hayward,0.325,0.636,0.382,0.405,0.667,0.222,0.767,33,34,37,15,27,43
Davion Mitchell,0.323,0.659,0.2,0.538,0.3,0.375,0.727,41,10,13,20,32,11
Rui Hachimura,0.319,0.576,0.5,0.409,0.5,0.227,0.724,66,34,22,14,22,29
Kelly Oubre Jr.,0.319,0.552,0.417,0.714,0.31,0.31,0.718,143,48,14,71,84,71
LeBron James,0.316,0.614,0.227,0.462,0.36,0.278,0.721,145,22,26,50,54,68
Russell Westbrook,0.312,0.466,0.278,0.3,0.355,0.294,0.707,148,18,10,31,51,75
Jabari Smith Jr.,0.308,0.429,0.333,0.261,0.391,0.316,0.857,49,21,23,46,79,42
Ja Morant,0.308,0.542,0.393,0.5,0.35,0.386,0.743,192,89,10,40,44,167
Paolo Banchero,0.299,0.605,0.375,0.359,0.304,0.25,0.732,119,40,39,23,32,127
John Wall,0.298,0.638,0.45,0.355,0.15,0.289,0.658,69,20,31,20,38,76
Jalen Smith,0.289,0.662,0.286,0.214,0.37,0.243,0.765,77,14,14,46,37,51
John Collins,0.285,0.702,0.469,0.4,0.2,0.184,0.845,94,32,10,30,38,58
Scottie Barnes,0.283,0.577,0.167,0.346,0.364,0.343,0.724,111,30,26,33,35,29
Killian Hayes,0.28,0.278,0.446,0.368,0.2,0.406,0.842,54,56,19,30,32,19
Giannis Antetokounmpo,0.275,0.664,0.268,0.419,0.241,0.222,0.608,238,41,31,29,27,212
Bol Bol,0.268,0.8,0.452,0.231,0.5,0.333,0.767,100,31,13,22,21,43
Dennis Smith Jr.,0.22,0.562,0.381,0.3,0.364,0.316,0.5,73,21,10,11,19,12
